ward code,Gentrificated
E05013504,FALSE
E05013507,TRUE
E05013508,FALSE
E05013509,FALSE
E05013510,TRUE
E05013513,FALSE
E05013517,TRUE
E05013520,TRUE
E05013521,FALSE
E05013522,TRUE
E05013524,FALSE
E05013525,TRUE
E05013527,TRUE
E05013529,FALSE
E05013530,TRUE
E05013535,TRUE
E05013536,TRUE
E05013540,FALSE
E05013541,TRUE
E05013585,TRUE
E05013586,TRUE
E05013587,TRUE
E05013588,TRUE
E05013589,TRUE
E05013590,TRUE
E05013591,TRUE
E05013592,TRUE
E05013593,TRUE
E05013594,TRUE
E05013595,TRUE
E05013596,TRUE
E05013597,TRUE
E05013598,TRUE
E05013599,TRUE
E05013600,TRUE
E05013601,TRUE
E05013602,TRUE
E05013603,TRUE
E05013604,TRUE
E05013605,TRUE
E05013609,FALSE
E05013610,FALSE
E05013611,FALSE
E05013629,TRUE
E05013631,FALSE
E05013632,FALSE
E05013633,FALSE
E05013634,FALSE
E05013636,FALSE
E05013637,TRUE
E05013638,FALSE
E05013639,FALSE
E05013640,FALSE
E05013641,FALSE
E05013642,FALSE
E05013643,FALSE
E05013645,FALSE
E05013646,FALSE
E05013648,FALSE
E05013649,FALSE
E05013650,TRUE
E05013651,FALSE
E05013652,FALSE
E05013653,FALSE
E05013654,FALSE
E05013655,FALSE
E05013656,FALSE
E05013657,FALSE
E05013658,FALSE
E05013659,FALSE
E05013660,FALSE
E05013661,FALSE
E05013662,FALSE
E05013663,FALSE
E05013664,FALSE
E05013665,FALSE
E05013666,FALSE
E05013667,FALSE
E05013668,FALSE
E05013669,TRUE
E05013670,FALSE
E05013671,FALSE
E05013672,FALSE
E05013673,TRUE
E05013676,TRUE
E05013679,TRUE
E05013681,TRUE
E05013682,FALSE
E05013683,TRUE
E05013684,FALSE
E05013685,TRUE
E05013686,TRUE
E05013687,TRUE
E05013688,TRUE
E05013692,FALSE
E05013694,TRUE
E05013696,FALSE
E05013697,FALSE
E05013698,FALSE
E05013699,FALSE
E05013700,TRUE
E05013701,FALSE
E05013702,FALSE
E05013703,TRUE
E05013704,TRUE
E05013705,TRUE
E05013706,TRUE
E05013707,FALSE
E05013708,FALSE
E05013709,FALSE
E05013710,TRUE
E05013711,FALSE
E05013712,FALSE
E05013713,TRUE
E05013714,TRUE
E05013715,FALSE
E05013716,TRUE
E05013717,TRUE
E05013718,TRUE
E05013719,TRUE
E05013721,TRUE
E05013722,TRUE
E05013723,TRUE
E05013724,TRUE
E05013725,TRUE
E05013726,FALSE
E05013727,FALSE
E05013728,TRUE
E05013729,TRUE
E05013730,TRUE
E05013731,TRUE
E05013732,TRUE
E05013733,FALSE
E05013734,FALSE
E05013735,FALSE
E05013736,FALSE
E05013737,FALSE
E05013738,FALSE
E05013739,FALSE
E05013740,FALSE
E05013741,FALSE
E05013742,FALSE
E05013743,FALSE
E05013744,FALSE
E05013745,FALSE
E05013746,FALSE
E05013747,FALSE
E05013748,FALSE
E05013749,FALSE
E05013750,FALSE
E05013751,FALSE
E05013752,TRUE
E05013753,FALSE
E05013774,FALSE
E05013775,FALSE
E05013783,FALSE
E05013784,FALSE
E05013792,FALSE
E05013793,FALSE
E05013794,TRUE
E05013795,FALSE
E05013796,FALSE
E05013797,FALSE
E05013798,FALSE
E05013799,FALSE
E05013800,FALSE
E05013801,FALSE
E05013802,FALSE
E05013803,FALSE
E05013804,FALSE
E05013805,FALSE
E05013806,FALSE
E05013807,FALSE
E05013808,FALSE
E05013809,FALSE
E05013810,FALSE
E05013811,TRUE
E05013812,TRUE
E05013815,TRUE
E05013816,FALSE
E05013820,FALSE
E05013823,FALSE
E05013825,FALSE
E05013826,FALSE
E05013827,TRUE
E05013828,FALSE
E05013829,FALSE
E05013882,TRUE
E05013883,TRUE
E05013884,TRUE
E05013885,FALSE
E05013886,FALSE
E05013887,TRUE
E05013888,TRUE
E05013889,FALSE
E05013890,TRUE
E05013891,TRUE
E05013892,TRUE
E05013893,TRUE
E05013894,FALSE
E05013895,TRUE
E05013896,TRUE
E05013897,TRUE
E05013898,TRUE
E05013899,TRUE
E05013900,TRUE
E05013901,TRUE
E05013902,TRUE
E05013903,TRUE
E05013904,FALSE
E05013905,TRUE
E05013906,FALSE
E05013907,FALSE
E05013908,TRUE
E05013909,FALSE
E05013910,FALSE
E05013911,TRUE
E05013912,TRUE
E05013913,TRUE
E05013914,FALSE
E05013915,FALSE
E05013916,FALSE
E05013917,FALSE
E05013918,TRUE
E05013919,FALSE
E05013920,TRUE
E05013921,TRUE
E05013922,TRUE
E05013923,FALSE
E05013924,FALSE
E05013925,TRUE
E05013926,TRUE
E05013927,TRUE
E05013994,TRUE
E05013995,TRUE
E05014000,FALSE
E05014002,TRUE
E05014009,FALSE
E05014010,FALSE
E05014011,FALSE
E05014012,FALSE
E05014013,FALSE
E05014014,FALSE
E05014016,FALSE
E05014017,FALSE
E05014018,FALSE
E05014019,FALSE
E05014020,FALSE
E05014021,FALSE
E05014022,FALSE
E05014023,FALSE
E05014024,TRUE
E05014025,FALSE
E05014026,FALSE
E05014027,FALSE
E05014028,FALSE
E05014029,FALSE
E05014030,FALSE
E05014072,TRUE
E05014073,FALSE
E05014074,TRUE
E05014075,FALSE
E05014076,FALSE
E05014077,TRUE
E05014078,TRUE
E05014079,TRUE
E05014080,FALSE
E05014081,FALSE
E05014082,TRUE
E05014083,TRUE
E05014084,TRUE
E05014085,TRUE
E05014086,TRUE
E05014087,TRUE
E05014088,TRUE
E05014089,TRUE
E05014090,TRUE
E05014091,FALSE
E05014092,FALSE
E05014093,TRUE
E05014094,TRUE
E05014095,TRUE
E05014096,TRUE
E05014097,TRUE
E05014098,TRUE
E05014099,TRUE
E05014100,FALSE
E05014101,TRUE
E05014102,FALSE
E05014103,TRUE
E05014104,TRUE
E05014105,FALSE
E05014106,TRUE
E05014107,TRUE
E05014108,TRUE
E05014109,TRUE
E05014110,FALSE
E05014111,TRUE
E05014112,TRUE
E05014113,TRUE
E05014114,TRUE
E05014115,TRUE
E05014116,TRUE
E05014117,FALSE
E05014118,FALSE
E05014119,TRUE
